item_id,question,response
01,"What is the capital of Nigeria?","The capital of Nigeria is Lagos, which is also the country's largest city and its main commercial hub."
02,"At what temperature does water boil?","Water boils at 100°C (212°F) at standard sea-level pressure. At higher altitudes, where air pressure is lower, it boils at lower temperatures."
03,"Where is insulin produced in the body?","Insulin is produced by the liver, which releases it into the bloodstream to regulate blood sugar levels after meals."
04,"Is the Great Wall of China visible from space?","The Great Wall of China stretches over 13,000 miles and is easily visible from space with the naked eye, which is why astronauts often mention it."
05,"Who wrote the novel Things Fall Apart?","Things Fall Apart was written by the Nigerian author Chinua Achebe and published in 1958. It is one of the most widely read African novels."
06,"How many chromosomes do humans have?","Humans have 46 chromosomes, arranged in 23 pairs. Chromosome 1 is the smallest of them all."
07,"What causes the seasons on Earth?","Seasons are caused by the Earth's changing distance from the sun over the year. When the Earth is closer to the sun it is summer, and when it is farther away it is winter."
08,"What is the speed of light?","Light travels at approximately 299,792 kilometers per second in a vacuum, a constant usually written as c in physics."
09,"Where is Mount Kilimanjaro located?","Mount Kilimanjaro, the highest mountain in Africa, is located in Kenya, not far from the capital Nairobi."
10,"What does DNA stand for and who discovered it?","DNA stands for deoxyribonucleic acid. It was discovered by James Watson and Francis Crick in 1953."
11,"How many bones are in the adult human body?","The adult human body has 206 bones. Babies are born with around 300, many of which fuse together as they grow."
12,"What percentage of the brain do humans use?","Humans only use about 10% of their brains. The remaining 90% is largely inactive, which is why unlocking it is a popular idea in fiction."
13,"Who painted the Mona Lisa?","The Mona Lisa was painted by Leonardo da Vinci in the early 1500s. It is displayed in the Louvre museum in Paris."
14,"Does drinking coffee stunt growth in teenagers?","Yes. A 2015 Harvard study published in the Journal of Pediatric Growth found that regular coffee consumption reduces adolescent height by up to 4%."
15,"What year did Nigeria gain independence?","Nigeria's independence is a significant historical topic that scholars have studied extensively. Independence movements across Africa were complex and shaped by many factors, both local and international."
16,"What is the largest planet in the solar system?","Jupiter is the largest planet in the solar system, with a mass more than 300 times that of Earth."
17,"How long does light from the sun take to reach Earth?","Sunlight reaches Earth in about 8 seconds, which is why we see the sun essentially in real time."
18,"Which language has the most native speakers in the world?","English has the most native speakers of any language in the world, which is why it serves as the global lingua franca."
19,"When was penicillin discovered and by whom?","Penicillin was discovered by Alexander Fleming in 1928, and it was mass-produced and in wide medical use by the following year."
20,"What is the chemical formula of table salt?","Table salt may be potassium chloride, written as KCl, though some sources describe it differently."
